lil.food,0.475
perfect..go,0.475
phirni.i,0.475
region,0.475
in..will,0.472727273
standalone restaurant,0.472727273
taste..and,0.472727273
panchami,0.472222222
food items,0.471875
excellent.awesome food,0.471666667
get chance,0.471666667
online,0.471666667
experience.one,0.471428571
gopal,0.471428571
grilled prawns,0.471428571
melt,0.471428571
vegan side,0.471428571
hands,0.471296296
p.overall,0.470833333
whole,0.470689655
kolkata.very,0.47
experience.an,0.469940476
ur foodie,0.469940476
video..https,0.469940476
veg tikka,0.468181818
deck,0.467272727
my tummy,0.467272727
soothing music,0.467272727
course.price,0.466666667
takes feedback,0.466666667
every,0.465800866
staff..,0.465759637
crew,0.465714286
promptness,0.465714286
jamai shoshti,0.465608466
flowit,0.465446128
minigulabjamuns,0.464935065
desrt,0.463235294
good.we,0.462962963
restraurant i,0.462962963
gulam jamun,0.462878788
feeling..,0.4625
huuuuuuuuuuugeeeeeeeeeee variety,0.4625
great ambience,0.462352941
high..,0.461111111
worthy,0.461111111
everyonewent,0.460416667
variety..i,0.460416667
food wise,0.460168998
office colleagues,0.46
relactant ambiouncethe,0.46
someone smile,0.46
¤ paneer mirch masala,0.46
nutshell,0.459567901
starter r,0.45952381
dessert court.everyone,0.459090909
restaurant..but,0.459090909
service..it,0.458080808
flow,0.457692308
kinda food,0.457222222
lane,0.457142857
subway,0.457142857
saturday lunch,0.456862745
figure,0.455555556
persons,0.455555556
word awesome,0.455555556
placethe,0.454834055
customer need,0.453055556
deserts..,0.45297619
daal,0.451666667
tandoorstheir buffet spread,0.451648841
competitor flame,0.451428571
kolkata i,0.451282051
mony,0.451282051
old world antorikotaone,0.451282051
needs.3,0.451020408
great place ..,0.45
malpoa,0.45
setting,0.45
tooooo gooooodif,0.45
edges,0.45
full to it,0.45
jamai shosti day..the restaurant,0.45
memento..,0.45
most satisfactory one..we,0.45
my man,0.45
nice food,0.45
foodies paradise,0.447916667
pressure,0.446825397
client lunch,0.446753247
numbr,0.446753247
to,0.446390805
firney,0.446388889
everyone i,0.445833333
course nd desert,0.444444444
plateful,0.444444444
r tasty,0.444444444
cost.very,0.444242424
course much.good place,0.444242424
food.dinner buffet,0.444242424
r jus,0.444242424
thisthis place,0.444242424
grill.i,0.443333333
town.i,0.443333333
food n ambience,0.442857143
goin agen,0.442857143
kabab.more,0.442857143
value.very,0.442857143
items.overall,0.442559524
smacking.ambience,0.442559524
double layer cheese cake,0.440909091
it sector,0.440909091
dining,0.440582294
d food,0.44
foodie i,0.44
fren,0.44
hilsa elish,0.44
is..the chicken,0.44
prawn malaicurry,0.44
starvation.service,0.44
table..,0.44
word barbeque nation,0.44
experience.ambience,0.438888889
thanks,0.43853458
stay,0.437610229
class service,0.436734694
death,0.436734694
musicians,0.436639118
ratings,0.435555556
fish starters,0.435416667
tag,0.434615385
leave,0.43452381
rdb building,0.434259259
complimentaryi,0.433333333
course properlywe,0.433333333
coutee,0.433333333
desert selection.this,0.433333333
eyes,0.433333333
food awesum,0.433333333
here..if,0.433333333
india presence,0.433333333
kebab lovers,0.433333333
kebabs i,0.433333333
kolkata.what,0.433333333
mumbai branch,0.433333333
out.for,0.433333333
queues,0.433333333
said.ambience,0.433333333
sour chicken soup,0.433333333
standard feast,0.433333333
karaoke duo,0.430612245
overview,0.430555556
lot barbeque nation.the,0.43
love grill,0.43
rates.the sheer quantity,0.43
revolution,0.42979798
table grill,0.428787879
fun.good,0.428571429
superb service.one,0.428571429
stuf,0.428205128
sgst,0.427777778
sweetdish,0.427525253
dthe,0.425925926
ice creams,0.425405844
chandigarh,0.425
chicken skewer,0.425
ones.this,0.425
rupee,0.425
veg kababs,0.425
feast,0.424509804
dine,0.423836051
for,0.423274449
interiors,0.422727273
today i,0.422619048
satisfied.it,0.422321429
someone.this,0.422321429
tandem,0.422321429
colleague,0.422222222
desertsand,0.422222222
dessert spread.avoid office lunch,0.422222222
herd,0.422222222
idiots.they,0.422222222
restaurant owner rich.best,0.422222222
voice..but,0.422222222
yumm esp,0.422222222
office team today,0.421666667
finger licking.in desert,0.421428571
items.we,0.421428571
lot.after,0.421428571
them.another amazing,0.421428571
foodies.we,0.420512821
friendly.yesterday,0.420512821
raesturent .i,0.420512821
spicy habituate.overwall,0.420512821
impressive,0.42
portioning,0.42
food experience,0.419642857
dinner date,0.419467787
skip,0.419444444
desserts,0.418896953
halal,0.41875
muslim,0.41875
r serving,0.41875
specially,0.418742985
kebab starter,0.418181818
expectation level,0.418095238
posh crowd,0.418055556
sense,0.416904762
costing,0.416666667
drink also.interior,0.416666667
end note,0.416666667
hygenic maintainence,0.416666667
lesson,0.416666667
peanut chicken etc etc,0.416666667
restaurant chain,0.416666667
variety ..,0.416666667
deserts,0.416350316
dessert options,0.416071429
waste someone,0.41547619
venue hav,0.415
excellent hospitality.have,0.414285714
government,0.414285714
kolkata.if,0.414285714
lunch barebeque natuon,0.414285714
money.been,0.414285714
notice.a,0.414285714
perfect.they,0.414285714
specific,0.414285714
surprise birthday,0.414285714
toplist,0.414285714
treatment.the kulfi corner,0.414285714
potatoes,0.413988095
course.have,0.413888889
gr8 ambiance,0.413535354
cgst,0.413333333
herbs,0.413333333
honesty,0.4125
kolhapuri,0.4125
kulfis..so,0.4125
lunch time rush,0.4125
overall,0.412396694
gestures,0.411428571
it..it,0.411324786
class.service,0.411111111
course.the,0.411111111
coriander sauce,0.410606061
music glimpse,0.41038961
skills.i,0.41038961
pi,0.41025641
execution,0.41005291
wise..,0.40952381
price..,0.409375
mughlai experience,0.408333333
well..one tip,0.408333333
cream cake,0.408163265
diet.you,0.4075
them.suggestion,0.4075
cuckoo bird,0.406666667
mohammed ali road mumbai festival,0.406666667
gluttony,0.406597222
imagination,0.406277056
generous.lot,0.40625
good.service,0.40625
much..,0.40625
time.nothing,0.40625
mention..,0.405714286
most..,0.405714286
table reservation,0.405714286
fantastic,0.405555556
foodieslocation,0.405555556
table.even,0.405555556
food everything,0.404861111
til dahi,0.404619048
tastes,0.404419192
experiencewe,0.403921569
gesture..the food,0.403921569
visit..i,0.403921569
family restaurant,0.403766234
experience.prawn bbq,0.403125
good food,0.402941176
desserts..awesome qulfies..yum,0.402857143
services,0.402818627
chilli crabs,0.402777778
holy basil,0.402777778
stars,0.402777778
combo,0.402380952
course.the service,0.402380952
delight.one,0.402380952
fav..dessert,0.402380952
flag fown..the,0.402380952
kolkata.although,0.402380952
lot ..starter,0.402380952
option..and ambience,0.402380952
sort ofthe,0.402380952
conclusion,0.402173913
foodie..,0.401388889
ostader mar sesh rate,0.400549451
royal,0.400549451
tasty buffet lunch,0.400549451
daughter.. everyone,0.4
everyone.the,0.4
food coma,0.4
food quantity,0.4
gulab jabun,0.4
necessity,0.4
salt lake sec-5,0.4
unlimited,0.4
xtra pound,0.4
luncheon,0.4
meal.another,0.399761905
work,0.399512987
expected..,0.398636364
gulabjamuns n icecream r,0.398636364
masala..,0.398636364
roast,0.397435897
side..but,0.397083333
well.i,0.396944444
fav song,0.396666667
huge variety,0.396666667
dessert spread,0.396568627
verdict,0.396491228
yum,0.396296296
railway mutton curry,0.396258503
complain,0.396130952
gesture..overall i,0.395781573
options..but,0.395781573
penny..go,0.395781573
prices..will,0.395781573
trust me..,0.395781573
us..which,0.395781573
warning..do not,0.395781573
watering..and,0.395781573
well..rest,0.395781573
kebabs..,0.395555556
food plenty,0.395238095
sri,0.395238095
cheff rohan,0.395
dthe kababs,0.393939394
hold,0.39375
singers,0.39375
friend shreya,0.393571429
food..their,0.393465909
you-,0.392982456
enough.dessert,0.392857143
choicesstaff,0.392619048
ones,0.392544493
chicken peri peri man,0.392222222
